Date,Petrol (USD),Diesel (USD),,,,,,,
16-03-2015,111.04,118.26,,,,,,,
23-03-2015,111.65,118.71,,,,,,,
30-03-2015,112.06,118.97,,,,,,,
06-04-2015,112.37,119.09,,,,,,,
13-04-2015,112.52,119.15,,,,,,,
20-04-2015,112.87,119.14,,,,,,,
27-04-2015,113.55,119.58,,,,,,,
04-05-2015,114.27,120.00,,,,,,,
11-05-2015,115.10,120.59,,,,,,,
18-05-2015,115.74,121.04,,,,,,,
25-05-2015,116.02,121.32,,,,,,,
01-06-2015,116.13,121.30,,,,,,,
08-06-2015,116.26,121.34,,,,,,,
15-06-2015,116.39,121.30,,,,,,,
